,MCIC_hr,Vis_hr,Ceiling_hr,TS_hr,CW0422_hr,CW1129_hr,PC_hr,RNSNIC_hr,CW0422_Str,CW1129_Str,ModNumber,ActAdvisoryDuration,PR_hr,GDPCNX
0,1,5.0,25,0,29,15,1,1,1,0,0,7.4,30,1
1,0,6.0,40,0,30,15,1,1,1,0,0,7.4,30,1
2,0,6.0,40,0,30,15,1,1,1,0,0,7.4,30,1
3,0,6.0,40,0,30,15,1,1,1,0,0,7.4,30,1
4,0,10.0,50,0,32,16,1,1,1,0,0,7.4,30,1
5,0,10.0,50,0,32,16,1,1,1,0,0,7.4,30,1
6,0,10.0,50,0,32,16,1,1,1,0,0,7.4,30,1
7,0,10.0,50,0,32,16,1,1,1,0,0,7.4,30,1
8,0,10.0,70,0,36,19,0,0,1,0,1,2.2166666669999997,30,1
9,0,10.0,70,0,36,19,0,0,1,0,1,2.2166666669999997,30,1
10,0,10.0,70,0,36,19,0,0,1,0,1,2.2166666669999997,30,1
11,0,10.0,250,0,34,6,0,0,1,0,2,19.71666667,30,2
12,0,10.0,60,0,32,17,1,1,1,0,0,10.08333333,30,1
13,0,10.0,60,0,32,17,1,1,1,0,0,10.08333333,30,1
14,0,10.0,60,0,32,17,1,1,1,0,0,10.08333333,30,1
15,0,10.0,60,0,32,17,1,1,1,0,0,10.08333333,30,1
16,0,10.0,60,0,32,17,1,1,1,0,0,10.08333333,30,1
17,1,10.0,25,0,36,6,1,1,1,0,0,10.08333333,30,1
18,1,10.0,25,0,36,6,1,1,1,0,0,10.08333333,30,1
19,1,10.0,25,0,36,6,1,1,1,0,0,10.08333333,30,1
20,1,10.0,25,0,36,6,1,1,1,0,0,10.08333333,30,1
21,1,10.0,25,0,36,6,1,1,1,0,0,10.08333333,30,1
22,1,10.0,25,0,36,6,1,1,1,0,0,10.08333333,30,1
23,1,6.0,25,0,36,6,1,1,1,0,0,2.116666667,32,1
24,1,6.0,25,0,36,6,1,1,1,0,0,2.116666667,32,1
25,1,6.0,25,0,36,6,1,1,1,0,0,2.116666667,32,1
26,1,3.0,25,0,39,7,1,1,1,0,1,5.166666667,32,1
27,1,3.0,25,0,39,7,1,1,1,0,1,5.166666667,32,1
28,1,3.0,25,0,39,7,1,1,1,0,1,5.166666667,32,1
29,1,3.0,25,0,39,7,1,1,1,0,1,5.166666667,32,1
30,1,3.0,25,0,39,7,1,1,1,0,1,5.166666667,32,1
31,0,10.0,35,0,39,7,1,1,1,0,1,5.166666667,32,1
32,1,3.0,20,0,33,6,1,1,1,0,2,2.2166666669999997,32,1
33,0,10.0,35,0,29,15,1,1,1,0,2,2.2166666669999997,32,1
34,0,10.0,35,0,29,15,1,1,1,0,2,2.2166666669999997,32,1
35,0,5.0,30,0,26,5,1,1,1,0,3,0.2,36,1
36,0,5.0,30,0,26,5,1,1,1,0,4,26.76666667,36,2
37,0,10.0,120,0,21,4,0,0,0,0,0,4.166666667,40,1
38,0,10.0,120,0,21,4,0,0,0,0,0,4.166666667,40,1
39,0,10.0,120,0,21,4,0,0,0,0,0,4.166666667,40,1
40,0,10.0,120,0,21,4,0,0,0,0,0,4.166666667,40,1
41,0,10.0,120,0,11,2,0,0,0,0,0,4.166666667,40,1
42,0,10.0,120,0,11,2,0,0,0,0,1,3.583333333,38,1
43,0,10.0,120,0,11,2,0,0,0,0,1,3.583333333,38,1
44,0,10.0,120,0,11,2,0,0,0,0,1,3.583333333,38,1
45,0,10.0,120,0,11,2,0,0,0,0,1,3.583333333,38,1
46,0,10.0,40,0,10,2,0,0,0,0,2,2.566666667,38,2
47,0,10.0,35,0,22,11,0,0,0,0,0,6.216666667,38,1
48,0,10.0,35,0,22,11,0,0,0,0,0,6.216666667,38,1
49,0,10.0,35,0,22,11,0,0,0,0,0,6.216666667,38,1
50,0,10.0,35,0,22,11,0,0,0,0,0,6.216666667,38,1
51,0,10.0,35,0,22,11,0,0,0,0,0,6.216666667,38,1
52,0,10.0,35,0,22,11,0,0,0,0,0,6.216666667,38,1
53,0,10.0,35,0,22,11,0,0,0,0,0,6.216666667,38,1
54,0,10.0,120,0,22,4,0,0,0,0,1,4.05,38,2
55,0,10.0,120,0,16,3,0,0,0,0,0,5.133333333,38,1
56,0,10.0,120,0,8,0,0,0,0,0,0,5.133333333,38,1
57,0,10.0,120,0,8,0,0,0,0,0,0,5.133333333,38,1
58,0,10.0,120,0,8,0,0,0,0,0,0,5.133333333,38,1
59,0,10.0,150,0,6,1,0,0,0,0,0,5.133333333,38,1
60,0,10.0,150,0,6,1,0,0,0,0,0,5.133333333,38,1
61,0,10.0,120,0,8,1,0,0,0,0,1,24.23333333,38,2
62,1,10.0,20,0,9,0,0,0,0,0,1,6.016666667000001,38,1
63,0,10.0,70,0,21,4,0,0,0,0,1,6.016666667000001,38,1
64,0,10.0,35,0,23,4,0,0,0,0,1,6.016666667000001,38,1
65,0,10.0,35,0,23,4,0,0,0,0,1,6.016666667000001,38,1
66,0,10.0,35,0,24,12,0,0,0,0,1,6.016666667000001,38,1
67,0,10.0,35,0,24,12,0,0,0,0,1,6.016666667000001,36,1
68,0,10.0,35,0,24,12,0,0,0,0,1,6.016666667000001,36,1
69,0,10.0,120,0,24,12,0,0,0,0,2,0.833333333,36,1
70,0,10.0,120,0,24,12,0,0,0,0,3,4.866666667,36,2
71,0,10.0,120,0,16,11,0,0,0,0,0,1.55,32,1
72,0,10.0,120,0,16,11,0,0,0,0,0,1.55,32,1
73,0,10.0,120,0,16,11,0,0,0,0,1,1.533333333,32,1
74,0,10.0,120,0,16,11,0,0,0,0,1,1.533333333,32,1
75,0,10.0,120,0,9,5,0,0,0,0,2,3.266666667,35,1
76,0,10.0,120,0,9,5,0,0,0,0,2,3.266666667,35,1
77,0,10.0,120,0,9,5,0,0,0,0,2,3.266666667,35,1
78,0,10.0,120,0,9,5,0,0,0,0,2,3.266666667,35,1
79,0,10.0,120,0,16,8,0,0,0,0,3,5.35,35,1
80,0,10.0,120,0,11,4,0,0,0,0,3,5.35,35,1
81,0,10.0,120,0,11,4,0,0,0,0,3,5.35,35,1
82,0,10.0,120,0,7,1,0,0,0,0,3,5.35,35,1
83,0,10.0,120,0,7,1,0,0,0,0,3,5.35,35,1
84,0,10.0,120,0,7,1,0,0,0,0,3,5.35,35,1
85,0,10.0,120,0,11,4,0,0,0,0,4,18.38333333,35,2
86,0,10.0,120,0,19,6,0,0,0,0,0,5.55,36,1
87,0,10.0,120,0,24,12,0,0,0,0,0,5.55,36,1
88,0,10.0,120,0,24,12,0,0,0,0,0,5.55,38,1
89,0,10.0,120,0,24,12,0,0,0,0,0,5.55,38,1
90,0,10.0,120,0,24,12,0,0,0,0,0,5.55,38,1
91,0,10.0,120,0,22,11,0,0,0,0,0,5.55,38,1
92,0,10.0,120,0,27,14,0,0,1,0,1,2.616666667,38,2
93,0,5.0,50,0,6,4,1,1,0,0,0,1.6,34,1
94,1,5.0,25,0,6,4,1,1,0,0,0,1.6,34,1
95,1,2.0,7,0,15,12,1,1,0,0,1,6.0,31,1
